username,profileUrl,fullName,audienceSegment,country,countryConfidence,excludedCountry,excludedCountryConfidence,marketEligible,followersCount,medianReelViews,reelsMeasured,estimatedContractPriceGBP,supplementScore,rejectionReason,discoveredBy,bio
uksuppreviews,https://www.instagram.com/uksuppreviews/,UK Supplement Reviews,Fitness / gym,UK,3,,0,true,1400,12,1,0,11,medianReelViews outside range (12),supplement reviews; supplement reviews UK; supplement reviews New York,"Twitter - @uksuppreviews 
Dm for Product Reviews
Product reviews, jokes, topless men & suspect advice"
herbalsupplementreview,https://www.instagram.com/herbalsupplementreview/,Herbal Supplement Review,Supplement reviews,Unknown,0,,0,false,1731,1241,9,110,14,unknown target country; countryConfidence < 1 (0),supplement reviews,Herbal Supplement Review
thesupplementreview,https://www.instagram.com/thesupplementreview/,The Supplement Review ®,Supplement reviews,UK,5,,0,true,30248,1304,12,120,18,included,supplement reviews; supplement reviews UK; supplement reviews London,"*Supplement Industry news and reviews*
Owner of @thesupplementsamplingservice 
For entertainment purposes only"
suppwire,https://www.instagram.com/suppwire/,Suppwire - Where Supplement Culture Lives 🧪,Fitness / gym,US,1,,0,true,26611,444,12,40,11,medianReelViews outside range (444),supplement reviews; supplement reviews New York,"⚡ Daily Supplement & Food News
🔥 Leaks • Reviews • Trends
⭐️ 100% Community Driven
🧬 Stay Ahead of What’s Next"
supplements_lab,https://www.instagram.com/supplements_lab/,SUPPLEMENTS LAB,Supplement reviews,UK,4,,0,true,2262,67,12,10,22,medianReelViews outside range (67),supplement reviews London,"5 Star Google Review🏆
Top Quality Product ONLY🏆
1 on 1 Consultation
Bespoke Training & Diet Plan
BMI Check
Open Every Day 10am-6pm / Sun11am-5am"
potionlondon,https://www.instagram.com/potionlondon/,Potion London,Supplement reviews,UK,1,,0,true,4575,48,12,0,11,medianReelViews outside range (48),supplement reviews London,"Wellness supplements that actually work 💊 
As seen in @graziauk @popsugaruk @elleuk
Find us at @harveynichols @lookfantastic
✨✨"
powerupsupplement,https://www.instagram.com/powerupsupplement/,Power UP Supplements,Supplement reviews,UK,2,,0,true,15157,1604,12,140,24,included,supplement reviews London; supplements London,"📍London | @powerupsupplement 
📍Leicester | @powerupleicester
📍PT Studio | @powerupcentreofexcellence
📍🍔+ 🍗 | @unclefabs_chicken"
empiresupplementsltd,https://www.instagram.com/empiresupplementsltd/,Empire Supplements,Supplement reviews,UK,4,,0,true,1435,1274,11,110,35,included,supplement reviews Manchester; supplements Manchester; protein powder Manchester,"Monday - Friday 10:30 - 6:30pm
Saturday - 11 - 6pm
Sunday - 11 - 4:30pm"
bodytronix,https://www.instagram.com/bodytronix/,Bodytronix - Sports/Nutrition,Supplement reviews,UK,3,,0,true,1369,87,12,10,19,medianReelViews outside range (87),supplement reviews Manchester; protein powder Manchester,"☎️ 0161 478 8076
High Quality Supplements and Nutrition 💪🏽🏅           📲 Message us for Personal Training 🏋"
gainzfactorymcr,https://www.instagram.com/gainzfactorymcr/,⚙️GAINZ FACTORY MCR ⚙️,Supplement reviews,UK,4,,0,true,8574,1272,12,110,18,included,supplement reviews Manchester; supplements Manchester; protein powder Manchester,"MANCHESTER’S TOP SUPPLEMENT STORE 💪🏽💊
🔹Proteins / Supplements / Vitamins
🔹Professional advice
🔹Next day delivery 🚚
🔹Open 10 till 6 everyday"
__body__.manialtd,https://www.instagram.com/__body__.manialtd/,Body Mania Ltd,Supplement reviews,UK,5,,0,true,4071,448,12,40,8,medianReelViews outside range (448),supplement reviews Birmingham; supplements Birmingham; protein powder Birmingham,"328 Slade Rd, Erdington, Birmingham, B23 7LP. YOUR ONE STOP SHOP IN SPORT NUTRITION & SUPPLEMENTS. THE BEST SPORT NUTRITION SHOP twitter @bodymanialtd"
